GAME_ID,TEAM_ID,TEAM_CITY,TEAM_NAME,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,IN_TIME_REAL,OUT_TIME_REAL,PLAYER_PTS,PT_DIFF,USG_PCT
0022400236,1610612739,Cleveland,Cavaliers,1627747,Caris,LeVert,3370.0,7200.0,4.0,-3.0,0.143
0022400236,1610612739,Cleveland,Cavaliers,1627747,Caris,LeVert,11580.0,18880.0,0.0,-5.0,0.0
0022400236,1610612739,Cleveland,Cavaliers,1627747,Caris,LeVert,19400.0,25010.0,0.0,-4.0,0.273
0022400236,1610612739,Cleveland,Cavaliers,1627747,Caris,LeVert,25610.0,27860.0,0.0,6.0,0.0
0022400236,1610612739,Cleveland,Cavaliers,1627777,Georges,Niang,4430.0,11580.0,7.0,5.0,0.185
0022400236,1610612739,Cleveland,Cavaliers,1627777,Georges,Niang,17500.0,25010.0,6.0,0.0,0.3
0022400236,1610612739,Cleveland,Cavaliers,1627777,Georges,Niang,27860.0,28800.0,0.0,1.0,0.2
0022400236,1610612739,Cleveland,Cavaliers,1628386,Jarrett,Allen,0.0,5160.0,6.0,9.0,0.2
0022400236,1610612739,Cleveland,Cavaliers,1628386,Jarrett,Allen,10360.0,19400.0,13.0,-4.0,0.229
0022400236,1610612739,Cleveland,Cavaliers,1628386,Jarrett,Allen,23230.0,27860.0,2.0,4.0,0.143
0022400236,1610612739,Cleveland,Cavaliers,1629636,Darius,Garland,0.0,5160.0,5.0,9.0,0.25
0022400236,1610612739,Cleveland,Cavaliers,1629636,Darius,Garland,10180.0,19150.0,11.0,-3.0,0.306
0022400236,1610612739,Cleveland,Cavaliers,1629636,Darius,Garland,23720.0,27860.0,9.0,6.0,0.462
0022400236,1610612739,Cleveland,Cavaliers,1629660,Ty,Jerome,0.0,3370.0,5.0,13.0,0.231
0022400236,1610612739,Cleveland,Cavaliers,1629660,Ty,Jerome,5160.0,10180.0,8.0,4.0,0.35
0022400236,1610612739,Cleveland,Cavaliers,1629660,Ty,Jerome,14400.0,17500.0,2.0,-6.0,0.154
0022400236,1610612739,Cleveland,Cavaliers,1629660,Ty,Jerome,19150.0,23720.0,6.0,-3.0,0.15
0022400236,1610612739,Cleveland,Cavaliers,1629660,Ty,Jerome,25010.0,27860.0,3.0,6.0,0.222
0022400236,1610612739,Cleveland,Cavaliers,1629731,Dean,Wade,3370.0,8510.0,0.0,-2.0,0.1
0022400236,1610612739,Cleveland,Cavaliers,1629731,Dean,Wade,12350.0,14400.0,0.0,2.0,0.0
0022400236,1610612739,Cleveland,Cavaliers,1629731,Dean,Wade,17500.0,19150.0,3.0,3.0,0.125
0022400236,1610612739,Cleveland,Cavaliers,1630171,Isaac,Okoro,8510.0,4430.0,,,0.0
0022400236,1610612739,Cleveland,Cavaliers,1630596,Evan,Mobley,5160.0,3370.0,,,0.0
0022400236,1610612739,Cleveland,Cavaliers,1630596,Evan,Mobley,12350.0,10360.0,,,0.0
0022400236,1610612739,Cleveland,Cavaliers,1630596,Evan,Mobley,19150.0,17500.0,,,0.0
0022400236,1610612739,Cleveland,Cavaliers,1630596,Evan,Mobley,25010.0,23230.0,,,0.0
0022400236,1610612739,Cleveland,Cavaliers,1641854,Craig,Porter Jr.,18880.0,12350.0,,,0.0
0022400236,1610612739,Cleveland,Cavaliers,1641854,Craig,Porter Jr.,27860.0,25610.0,,,0.0
