SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1626158,0022301050,"MAR 27, 2024",WAS vs. BKN,L,12,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,1,0,0,-10,1
22023,1626158,0022301037,"MAR 25, 2024",WAS @ CHI,W,31,6,10,0.6,0,1,0.0,2,3,0.667,6,9,15,2,1,1,2,4,14,-8,1
22023,1626158,0022301022,"MAR 23, 2024",WAS vs. TOR,W,28,6,9,0.667,0,0,0.0,3,4,0.75,7,7,14,0,0,2,2,3,15,7,1
22023,1626158,0022301005,"MAR 21, 2024",WAS vs. SAC,W,29,2,9,0.222,0,0,0.0,2,2,1.0,6,10,16,2,0,1,1,5,6,15,1
22023,1626158,0022300992,"MAR 19, 2024",WAS vs. HOU,L,26,4,5,0.8,0,0,0.0,4,4,1.0,4,5,9,0,1,1,1,2,12,-18,1
22023,1626158,0022300980,"MAR 17, 2024",WAS vs. BOS,L,19,4,6,0.667,0,0,0.0,0,0,0.0,0,4,4,1,0,1,1,3,8,-18,1
22023,1626158,0022300971,"MAR 16, 2024",WAS @ CHI,L,26,3,8,0.375,0,1,0.0,1,2,0.5,1,3,4,1,1,0,0,5,7,-9,1
22023,1626158,0022300910,"MAR 08, 2024",WAS vs. CHA,W,36,5,5,1.0,0,0,0.0,4,4,1.0,3,8,11,1,1,1,0,5,14,23,1
22023,1626158,0022300894,"MAR 06, 2024",WAS vs. ORL,L,25,5,6,0.833,0,0,0.0,2,2,1.0,3,2,5,2,2,0,0,3,12,11,1
22023,1626158,0022300882,"MAR 04, 2024",WAS @ UTA,L,9,0,3,0.0,0,0,0.0,0,0,0.0,1,1,2,0,1,1,0,1,0,5,1
22023,1626158,0022300865,"MAR 01, 2024",WAS @ LAC,L,7,1,3,0.333,0,0,0.0,0,0,0.0,1,3,4,0,0,1,1,0,2,-5,1
22023,1626158,0022300856,"FEB 29, 2024",WAS @ LAL,L,14,3,4,0.75,1,1,1.0,0,0,0.0,2,1,3,0,0,0,1,4,7,-8,1
22023,1626158,0022300834,"FEB 27, 2024",WAS vs. GSW,L,12,0,3,0.0,0,0,0.0,1,2,0.5,2,1,3,0,0,0,0,0,1,-16,1
22023,1626158,0022300820,"FEB 25, 2024",WAS vs. CLE,L,15,4,6,0.667,0,0,0.0,3,3,1.0,1,6,7,0,0,0,2,2,11,-13,1
22023,1626158,0022300800,"FEB 22, 2024",WAS @ DEN,L,4,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-7,1
22023,1626158,0022300784,"FEB 14, 2024",WAS @ NOP,L,11,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,1,0,0,0,2,-7,1
22023,1626158,0022300768,"FEB 12, 2024",WAS @ DAL,L,13,5,7,0.714,0,0,0.0,0,0,0.0,1,1,2,0,0,1,0,3,10,2,1
