SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,202692,0022301175,"APR 12, 2024",NYK vs. BKN,W,11,1,4,0.25,1,2,0.5,2,2,1.0,0,1,1,4,1,0,1,0,5,-3,1
22023,202692,0022301119,"APR 05, 2024",NYK @ CHI,L,8,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-6,1
22023,202692,0022301112,"APR 04, 2024",NYK vs. SAC,W,9,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,0,9,1
22023,202692,0022301096,"APR 02, 2024",NYK @ MIA,L,3,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-6,1
22023,202692,0022301082,"MAR 31, 2024",NYK vs. OKC,L,12,2,8,0.25,1,3,0.333,0,0,0.0,0,2,2,1,0,0,0,0,5,-9,1
22023,202692,0022301019,"MAR 23, 2024",NYK vs. BKN,W,15,2,9,0.222,1,5,0.2,0,1,0.0,1,1,2,1,0,0,0,0,5,0,1
22023,202692,0022301009,"MAR 21, 2024",NYK @ DEN,L,21,5,11,0.455,3,6,0.5,5,7,0.714,0,5,5,1,2,0,3,1,18,4,1
22023,202692,0022300988,"MAR 18, 2024",NYK @ GSW,W,14,1,5,0.2,1,3,0.333,2,2,1.0,0,1,1,1,0,0,0,0,5,-2,1
22023,202692,0022300975,"MAR 16, 2024",NYK @ SAC,W,18,4,10,0.4,2,5,0.4,2,2,1.0,1,2,3,2,0,0,0,1,12,13,1
22023,202692,0022300960,"MAR 14, 2024",NYK @ POR,W,4,2,5,0.4,1,2,0.5,0,0,0.0,1,0,1,0,0,0,1,1,5,-1,1
22023,202692,0022300939,"MAR 12, 2024",NYK vs. PHI,W,12,1,6,0.167,0,4,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,-7,1
22023,202692,0022300927,"MAR 10, 2024",NYK vs. PHI,L,12,1,3,0.333,1,3,0.333,2,2,1.0,0,1,1,0,0,0,1,0,5,-7,1
22023,202692,0022300912,"MAR 08, 2024",NYK vs. ORL,W,5,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2,1
22023,202692,0022300889,"MAR 05, 2024",NYK vs. ATL,L,12,5,14,0.357,1,7,0.143,0,1,0.0,1,1,2,1,1,0,0,0,11,-12,1
22023,202692,0022300876,"MAR 03, 2024",NYK @ CLE,W,11,2,6,0.333,1,3,0.333,3,4,0.75,0,1,1,1,0,0,0,0,8,-7,1
22023,202692,0022300852,"FEB 29, 2024",NYK vs. GSW,L,11,2,6,0.333,1,3,0.333,0,0,0.0,1,1,2,1,0,0,0,0,5,6,1
22023,202692,0022300837,"FEB 27, 2024",NYK vs. NOP,L,16,1,7,0.143,0,2,0.0,0,0,0.0,0,2,2,1,0,1,0,0,2,-1,1
22023,202692,0022300828,"FEB 26, 2024",NYK vs. DET,W,14,3,9,0.333,1,3,0.333,0,1,0.0,1,0,1,1,1,0,2,1,7,8,1
22023,202692,0022300816,"FEB 24, 2024",NYK vs. BOS,L,19,3,11,0.273,1,7,0.143,0,0,0.0,0,3,3,0,0,0,1,1,7,-13,1
22023,202692,0022300794,"FEB 22, 2024",NYK @ PHI,W,13,2,5,0.4,2,4,0.5,1,3,0.333,0,1,1,1,0,0,1,0,7,1,1
22023,202692,0022300778,"FEB 14, 2024",NYK @ ORL,L,30,5,16,0.313,2,6,0.333,1,2,0.5,1,2,3,0,0,0,1,3,13,-28,1
22023,202692,0022300765,"FEB 12, 2024",NYK @ HOU,L,17,1,8,0.125,1,5,0.2,2,2,1.0,1,0,1,2,0,0,1,1,5,-3,1
22023,202692,0022300755,"FEB 10, 2024",NYK vs. IND,L,22,7,14,0.5,4,7,0.571,4,4,1.0,0,2,2,1,0,0,3,1,22,-4,1
22023,202692,0022300732,"FEB 07, 2024",DET @ SAC,W,28,7,12,0.583,5,7,0.714,6,6,1.0,0,7,7,2,0,0,0,3,25,12,1
22023,202692,0022300704,"FEB 04, 2024",DET vs. ORL,L,20,3,7,0.429,1,3,0.333,3,3,1.0,0,3,3,1,1,0,1,0,10,-2,1
22023,202692,0022300688,"FEB 02, 2024",DET vs. LAC,L,21,2,10,0.2,1,7,0.143,1,1,1.0,1,1,2,1,1,1,1,0,6,-13,1
22023,202692,0022300675,"JAN 31, 2024",DET @ CLE,L,30,3,5,0.6,1,3,0.333,4,4,1.0,0,4,4,6,0,1,2,2,11,2,1
22023,202692,0022300654,"JAN 28, 2024",DET vs. OKC,W,26,3,5,0.6,2,3,0.667,2,2,1.0,0,6,6,2,3,0,3,1,10,18,1
22023,202692,0022300642,"JAN 27, 2024",DET vs. WAS,L,18,2,9,0.222,1,5,0.2,3,4,0.75,0,4,4,0,0,0,0,1,8,-11,1
22023,202692,0022300619,"JAN 24, 2024",DET vs. CHA,W,26,4,11,0.364,4,9,0.444,3,4,0.75,0,0,0,1,0,0,0,1,15,5,1
22023,202692,0022300606,"JAN 22, 2024",DET vs. MIL,L,28,3,12,0.25,3,9,0.333,0,0,0.0,0,2,2,3,0,0,1,4,9,0,1
22023,202692,0022300592,"JAN 20, 2024",DET vs. MIL,L,30,9,20,0.45,7,14,0.5,8,8,1.0,0,7,7,6,1,0,0,2,33,24,1
22023,202692,0022300569,"JAN 17, 2024",DET vs. MIN,L,20,3,10,0.3,1,4,0.25,5,5,1.0,1,0,1,1,2,0,0,1,12,-10,1
