SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1641732,0022301200,"APR 14, 2024",SAC vs. POR,W,4,3,3,1.0,0,0,0.0,2,2,1.0,0,1,1,1,0,1,0,0,8,1,1
22023,1641732,0022301170,"APR 11, 2024",SAC vs. NOP,L,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-15,1
22023,1641732,0022301153,"APR 09, 2024",SAC @ OKC,L,9,0,2,0.0,0,1,0.0,2,2,1.0,1,0,1,1,0,0,1,3,2,-3,1
22023,1641732,0022301141,"APR 07, 2024",SAC @ BKN,W,23,3,9,0.333,1,6,0.167,0,2,0.0,1,3,4,4,3,2,1,3,7,17,1
22023,1641732,0022301118,"APR 05, 2024",SAC @ BOS,L,6,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,1,0,3,2,17,1
22023,1641732,0022301112,"APR 04, 2024",SAC @ NYK,L,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,5,1
22023,1641732,0022301101,"APR 02, 2024",SAC vs. LAC,W,1,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,-2,1
22023,1641732,0022301086,"MAR 31, 2024",SAC vs. UTA,W,2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,1
22023,1641732,0022301047,"MAR 26, 2024",SAC vs. DAL,L,5,1,3,0.333,0,0,0.0,0,0,0.0,2,0,2,2,0,0,0,1,2,-7,1
22023,1641732,0022301042,"MAR 25, 2024",SAC vs. PHI,W,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-6,1
22023,1641732,0022300999,"MAR 20, 2024",SAC @ TOR,W,8,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,1,0,0,1,2,0,-1,1
22023,1641732,0022300954,"MAR 13, 2024",SAC vs. LAL,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1
22023,1641732,0022300945,"MAR 12, 2024",SAC vs. MIL,W,5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,5,1
22023,1641732,0022300746,"FEB 09, 2024",SAC vs. DEN,W,7,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,1,0,0,0,1,2,0,1
22023,1641732,0022300714,"FEB 05, 2024",SAC @ CLE,L,3,0,1,0.0,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,0,0,-2,1
22023,1641732,0022300532,"JAN 12, 2024",SAC @ PHI,L,9,0,4,0.0,0,1,0.0,0,0,0.0,1,2,3,3,1,0,1,3,0,6,1
22023,1641732,0022300518,"JAN 10, 2024",SAC @ CHA,W,14,0,2,0.0,0,2,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1,1
22023,1641732,0022300500,"JAN 07, 2024",SAC vs. NOP,L,10,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,4,1,0,0,1,4,12,1
22023,1641732,0022300400,"DEC 23, 2023",SAC vs. MIN,L,2,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,3,1
22023,1641732,0022300358,"DEC 18, 2023",SAC vs. WAS,W,4,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,2,-6,1
22023,1641732,0022300303,"DEC 11, 2023",SAC vs. BKN,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6,1
22023,1641732,0022300264,"NOV 29, 2023",SAC vs. LAC,L,1,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,0,2,0,1
22023,1641732,0022300222,"NOV 20, 2023",SAC @ NOP,L,14,4,8,0.5,0,2,0.0,0,1,0.0,0,1,1,0,1,0,0,2,8,-1,1
22023,1641732,0022300212,"NOV 19, 2023",SAC @ DAL,W,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-3,1
22023,1641732,0022300191,"NOV 13, 2023",SAC vs. CLE,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5,1
22023,1641732,0022300153,"NOV 06, 2023",SAC @ HOU,L,13,4,6,0.667,0,0,0.0,2,2,1.0,3,2,5,1,0,0,0,1,10,4,1
22023,1641732,0022300137,"NOV 04, 2023",SAC @ HOU,L,18,2,7,0.286,1,4,0.25,0,0,0.0,1,2,3,0,0,0,3,1,5,0,1
22023,1641732,0022300126,"NOV 01, 2023",SAC @ GSW,L,17,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,1,1,1,0,3,4,-5,1
22023,1641732,0022300087,"OCT 27, 2023",SAC vs. GSW,L,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,1
22023,1641732,0022300072,"OCT 25, 2023",SAC @ UTA,W,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-2,1
